sensor_msgs/msg/JointState	effort	24	parallel
sensor_msgs/msg/Joy	axes	32	parallel
sensor_msgs/msg/Joy	buttons	32	parallel
sensor_msgs/msg/LaserScan	ranges	160	parallel	typical scanners 360-1440 beams - PRACTICALLY TOO SMALL
sensor_msgs/msg/LaserScan	intensities	160	parallel
sensor_msgs/msg/LaserEcho	echoes	4	element
sensor_msgs/msg/MultiDOFJointState	joint_names	8	parallel
sensor_msgs/msg/MultiDOFJointState	transforms	8	parallel
sensor_msgs/msg/MultiDOFJointState	twist	8	parallel
sensor_msgs/msg/MultiDOFJointState	wrench	8	parallel
sensor_msgs/msg/MultiEchoLaserScan	ranges	32	parallel	PRACTICALLY TOO SMALL
sensor_msgs/msg/MultiEchoLaserScan	intensities	32	parallel
sensor_msgs/msg/PointCloud	points	60	parallel	PRACTICALLY TOO SMALL
sensor_msgs/msg/PointCloud	channels	2	structural
sensor_msgs/msg/PointCloud2	fields	8	structural
sensor_msgs/msg/PointCloud2	data	1024	payload	PRACTICALLY TOO SMALL
shape_msgs/msg/Mesh	triangles	32	parallel	PRACTICALLY TOO SMALL
shape_msgs/msg/Mesh	vertices	32	parallel
statistics_msgs/msg/MetricsMessage	statistics	32	payload
tf2_msgs/msg/TFMessage	transforms	10	payload
trajectory_msgs/msg/JointTrajectoryPoint	positions	16	parallel
trajectory_msgs/msg/JointTrajectoryPoint	velocities	16	parallel
trajectory_msgs/msg/JointTrajectoryPoint	accelerations	16	parallel
trajectory_msgs/msg/JointTrajectoryPoint	effort	16	parallel
trajectory_msgs/msg/JointTrajectory	joint_names	16	parallel
trajectory_msgs/msg/JointTrajectory	points	2	payload	PRACTICALLY TOO SMALL for real trajectories
trajectory_msgs/msg/MultiDOFJointTrajectoryPoint	transforms	4	parallel
trajectory_msgs/msg/MultiDOFJointTrajectoryPoint	velocities	4	parallel
trajectory_msgs/msg/MultiDOFJointTrajectoryPoint	accelerations	4	parallel
trajectory_msgs/msg/MultiDOFJointTrajectory	joint_names	4	parallel
trajectory_msgs/msg/MultiDOFJointTrajectory	points	2	payload	PRACTICALLY TOO SMALL
type_description_interfaces/msg/IndividualTypeDescription	fields	16	element
type_description_interfaces/msg/TypeDescription	referenced_type_descriptions	1	payload
type_description_interfaces/srv/GetTypeDescription	type_sources	1	payload
type_description_interfaces/srv/GetTypeDescription	extra_information	2	payload
visualization_msgs/msg/ImageMarker	points	24	parallel
visualization_msgs/msg/ImageMarker	outline_colors	24	parallel
visualization_msgs/msg/MeshFile	data	1280	payload	PRACTICALLY TOO SMALL
visualization_msgs/msg/Marker	points	8	parallel	nests CompressedImage + MeshFile - see note in PLAN.md
visualization_msgs/msg/Marker	colors	8	parallel
visualization_msgs/msg/Marker	uv_coordinates	8	parallel
visualization_msgs/msg/MarkerArray	markers	1	payload
visualization_msgs/msg/InteractiveMarkerControl	markers	1	element
visualization_msgs/msg/InteractiveMarker	menu_entries	4	element
visualization_msgs/msg/InteractiveMarker	controls	1	element
visualization_msgs/msg/InteractiveMarkerInit	markers	1	payload
visualization_msgs/msg/InteractiveMarkerUpdate	markers	1	payload
visualization_msgs/msg/InteractiveMarkerUpdate	poses	4	payload
visualization_msgs/msg/InteractiveMarkerUpdate	erases	4	payload
visualization_msgs/srv/GetInteractiveMarkers	markers	1	payload
